(答案),﻿題號,問題,(1) 選項1,(2) 選項2,(3) 選項3,(4) 選項4
(3),1,電功率的單位為何？,(1) 歐姆 (Ohm),(2) 伏特 (Volt),(3) 瓦特 (Watt),(4) 安培 (Ampere)
(1),2,電壓的單位為何？,(1) 伏特 (Volt),(2) 歐姆 (Ohm),(3) 瓦特 (Watt),(4) 安培 (Ampere)
(4),3,電流的單位為何？,(1) 瓦特 (Watt),(2) 歐姆 (Ohm),(3) 伏特 (Volt),(4) 安培 (Ampere)
(2),4,電阻的單位為何？,(1) 瓦特 (Watt),(2) 歐姆 (Ohm),(3) 伏特 (Volt),(4) 安培 (Ampere)
(1),5,歐姆定律的公式為何？（E代表電壓，I代表電流，R代表電阻）,(1) E = I × R,(2) I = E × R,(3) R = I / E,(4) E = I + R
(3),6,若一電路電壓為 12 伏特，電流為 2 安培，則電阻為多少歐姆？,(1) 24 歐姆,(2) 10 歐姆,(3) 6 歐姆,(4) 0.16 歐姆
(2),7,若一電路電壓為 12 伏特，電阻為 6 歐姆，則功率為多少瓦特？,(1) 2 瓦特,(2) 24 瓦特,(3) 72 瓦特,(4) 0.5 瓦特
(4),8,電感器的基本單位為何？,(1) 法拉 (Farad),(2) 歐姆 (Ohm),(3) 伏特 (Volt),(4) 亨利 (Henry)
(1),9,電容器的基本單位為何？,(1) 法拉 (Farad),(2) 亨利 (Henry),(3) 歐姆 (Ohm),(4) 瓦特 (Watt)
(2),10,頻率的單位為何？,(1) 歐姆,(2) 赫茲 (Hertz),(3) 安培,(4) 瓦特
(3),11,144 MHz 等於多少 Hz？,(1) 144,000 Hz,(2) 1,440,000 Hz,(3) 144,000,000 Hz,(4) 144 Hz
(1),12,當兩個 100 歐姆的電阻串聯時，總電阻為多少？,(1) 200 歐姆,(2) 100 歐姆,(3) 50 歐姆,(4) 0 歐姆
(3),13,當兩個 100 歐姆的電阻並聯時，總電阻為多少？,(1) 200 歐姆,(2) 100 歐姆,(3) 50 歐姆,(4) 25 歐姆
(2),14,二極體的主要特性為何？,(1) 雙向導通,(2) 單向導通,(3) 放大訊號,(4) 儲存電能
(4),15,三極體（電晶體）通常具備什麼功能？,(1) 只能當開關,(2) 只能整流,(3) 只能儲能,(4) 放大訊號或作為電子開關
(1),16,何謂「交流電 (AC)」？,(1) 電流方向隨時間週期性改變的電流,(2) 電流方向恆定的電流,(3) 電壓永遠是 0 的電流,(4) 電池產生的電流
(2),17,何謂「直流電 (DC)」？,(1) 電流方向隨時間改變,(2) 電流方向不隨時間改變,(3) 交流電經變壓器後的結果,(4) 閃電產生的電流
(3),18,變壓器的主要工作原理是利用？,(1) 熱電效應,(2) 光電效應,(3) 電磁感應,(4) 化學反應
(4),19,在自由空間中，無線電波的傳播速度大約為何？,(1) 每秒 340 公尺,(2) 每秒 3,000 公里,(3) 每秒 30,000 公里,(4) 每秒 300,000 公里
(1),20,波長 (λ)、頻率 (f) 與光速 (c) 的關係為何？,(1) λ = c / f,(2) f = c × λ,(3) c = f / λ,(4) λ = f / c
(2),21,145 MHz 無線電波的波長大約是多少？,(1) 1 公尺,(2) 2 公尺,(3) 10 公尺,(4) 70 公分
(3),22,433 MHz 無線電波的波長大約是多少？,(1) 2 公尺,(2) 1 公尺,(3) 70 公分,(4) 10 公分
(1),23,何謂「調幅 (AM)」？,(1) 利用訊號改變載波的振幅,(2) 利用訊號改變載波的頻率,(3) 利用訊號改變載波的相位,(4) 關閉載波
(2),24,何謂「調頻 (FM)」？,(1) 利用訊號改變載波的振幅,(2) 利用訊號改變載波的頻率,(3) 利用訊號改變載波的相位,(4) 載波頻率固定不變
(4),25,下列何種發射模式佔用的頻寬最窄？,(1) FM,(2) AM,(3) SSB,(4) CW (等幅電報)
(3),26,SSB 是哪種調變方式的簡稱？,(1) 調頻,(2) 雙側波帶,(3) 單側波帶,(4) 數位調變
(1),27,在 SSB 中，USB 代表什麼？,(1) 上側波帶,(2) 下側波帶,(3) 通用序列匯流排,(4) 超高頻波段
(2),28,在 SSB 中，LSB 代表什麼？,(1) 上側波帶,(2) 下側波帶,(3) 低速波段,(4) 漏波帶
(4),29,超外差接收機中，「中頻 (IF)」的作用為何？,(1) 增加發射功率,(2) 改變天線長度,(3) 降低電池消耗,(4) 方便進行訊號過濾與放大
(1),30,接收機的「選擇性 (Selectivity)」是指？,(1) 區分鄰近頻率訊號的能力,(2) 接收微弱訊號的能力,(3) 調整音量的能力,(4) 選擇不同天線的能力
(2),31,接收機的「靈敏度 (Sensitivity)」是指？,(1) 區分干擾的能力,(2) 接收微弱訊號的能力,(3) 機器重量的大小,(4) 螢幕亮度
(3),32,天線的「增益 (Gain)」通常是以什麼作為參考基準？,(1) 歐姆,(2) 瓦特,(3) 各向同性天線 (dBi) 或半波偶極天線 (dBd),(4) 安培
(4),33,半波偶極天線 (Half-wave Dipole) 的長度大約是波長的多少？,(1) 1 倍,(2) 2 倍,(3) 1/4 倍,(4) 1/2 倍
(1),34,1/4 波長垂直天線通常需要什麼來維持良好的發射效果？,(1) 地網 (Ground Plane),(2) 絕緣漆,(3) 放大器,(4) 塑膠外殼
(2),35,八木天線 (Yagi Antenna) 是一種？,(1) 全向性天線,(2) 指向性天線,(3) 圓形天線,(4) 地下天線
(3),36,同軸電纜線的特性阻抗，在業餘無線電中最常用的是多少歐姆？,(1) 300 歐姆,(2) 75 歐姆,(3) 50 歐姆,(4) 8 歐姆
(4),37,當天線與傳輸線阻抗不匹配時，會產生？,(1) 音量變大,(2) 頻率增加,(3) 諧波消失,(4) 駐波 (Standing Wave)
(1),38,SWR = 1.0 代表什麼意思？,(1) 完美的匹配，沒有反射功率,(2) 天線斷了,(3) 反射功率最大,(4) 功率增加一倍
(3),39,濾波器的作用為何？,(1) 增加電力,(2) 改變語言內容,(3) 允許特定頻率通過，抑制其他頻率,(4) 儲存水份
(2),40,「低通濾波器 (Low Pass Filter)」的作用是？,(1) 只讓高頻通過,(2) 只讓低於截止頻率的訊號通過,(3) 阻擋所有訊號,(4) 增加雜訊
(1),41,「高通濾波器 (High Pass Filter)」的作用是？,(1) 只讓高於截止頻率的訊號通過,(2) 只讓低頻通過,(3) 調整電壓,(4) 保護天線
(4),42,振盪器 (Oscillator) 在無線電電路中的功能為何？,(1) 放大聲音,(2) 穩定電壓,(3) 整流,(4) 產生特定頻率的射頻訊號
(2),43,混頻器 (Mixer) 的功能為何？,(1) 混合兩種聲音,(2) 將兩個不同頻率訊號結合，產生和與差的頻率,(3) 調整天線角度,(4) 清理雜訊
(3),44,功率放大器 (Power Amplifier) 的主要目的為何？,(1) 改變頻率,(2) 降低訊號強度,(3) 提升射頻訊號的功率以便發射,(4) 調整音調
(1),45,電離層中哪一層在白天最能反射短波 (HF)？,(1) F 層,(2) D 層,(3) E 層,(4) 地面層
(4),46,什麼是「諧波 (Harmonics)」？,(1) 悅耳的聲音,(2) 背景雜訊,(3) 基礎頻率的一半,(4) 基礎頻率整數倍的頻率
(2),47,若發射頻率為 145 MHz，其二次諧波頻率是多少？,(1) 72.5 MHz,(2) 290 MHz,(3) 145 MHz,(4) 435 MHz
(3),48,當 SWR 指標為 3.0 時，對發射機有什麼潛在危險？,(1) 會省電,(2) 訊號更遠,(3) 反射功率過高可能損毀功率電晶體,(4) 頻率會偏移
(1),49,假負載 (Dummy Load) 通常是一個？,(1) 無感性 50 歐姆電阻,(2) 電感器,(3) 電容器,(4) 電池
(2),50,使用假負載測試時，是否會輻射出強大的無線電波？,(1) 是,(2) 否，電能轉化為熱能而非電波輻射,(3) 視天氣而定,(4) 視頻率而定
(2),51,在電路中，並聯兩個相同容量的電容器，總電容會如何變化？,(1) 減半,(2) 加倍,(3) 不變,(4) 變為零
(1),52,在電路中，串聯兩個相同容量的電容器，總電容會如何變化？,(1) 減半,(2) 加倍,(3) 不變,(4) 消失
(3),53,「電感」的主要特性是阻礙什麼的變化？,(1) 電壓,(2) 電阻,(3) 電流,(4) 頻率
(1),54,「電容」的主要特性是阻礙什麼的變化？,(1) 電壓,(2) 電流,(3) 功率,(4) 電感
(4),55,下列何者是導體？,(1) 玻璃,(2) 塑膠,(3) 陶瓷,(4) 銅
(1),56,下列何者是絕緣體？,(1) 橡膠,(2) 銀,(3) 鋁,(4) 鹽水
(2),57,無線電發射機的「載波 (Carrier)」是指？,(1) 搬運機器的車子,(2) 未經調變的射頻正弦波,(3) 語音訊號,(4) 電源線
(3),58,調頻 (FM) 訊號的「頻偏」與什麼有關？,(1) 載波的頻率,(2) 電池的電壓,(3) 調變訊號（語音）的振幅,(4) 天線的高度
(1),59,「帶通濾波器 (Band Pass Filter)」的作用是？,(1) 只允許特定頻率範圍內的訊號通過,(2) 阻擋所有頻率,(3) 只讓直流電通過,(4) 增加諧波
(4),60,什麼是「寄生振盪」？,(1) 正常的訊號發射,(2) 電鈴的聲音,(3) 穩定的頻率輸出,(4) 電路中產生的非預期且不穩定的振盪
(2),61,天線系統中的「巴倫 (Balun)」主要功能為何？,(1) 增加發射功率,(2) 轉換平衡與不平衡傳輸線路（如雙線與同軸電纜）,(3) 當作避雷針,(4) 測量頻率
(3),62,同軸電纜線的結構由內而外依序為？,(1) 絕緣體、中心導體、隔離網、外皮,(2) 外皮、隔離網、絕緣體、中心導體,(3) 中心導體、絕緣體、隔離網、外皮,(4) 隔離網、中心導體、絕緣體、外皮
(1),63,在 144MHz 頻段，同軸電纜線長度越長，產生的損失會？,(1) 越多,(2) 越少,(3) 不變,(4) 消失
(4),64,無線電波的極化 (Polarization) 是由什麼決定的？,(1) 電池的正負極,(2) 聲音的大小,(3) 天線的重量,(4) 電場向量的振動方向（通常由天線放置方向決定）
(2),65,水平放置的偶極天線，其輻射出的電波極化方式為何？,(1) 垂直極化,(2) 水平極化,(3) 圓極化,(4) 無極化
(1),66,直立架設的 1/4 波長天線，其輻射出的電波極化方式為何？,(1) 垂直極化,(2) 水平極化,(3) 交叉極化,(4) 隨機極化
(3),67,「駐波比 (SWR)」測量儀器應該連接在何處最能反應天線現況？,(1) 電源線與插座之間,(2) 麥克風與發射機之間,(3) 發射機輸出端與傳輸線之間,(4) 接收機與喇叭之間
(4),68,當 SWR 為 1.5 時，反射功率大約是多少？,(1) 0%,(2) 50%,(3) 100%,(4) 約 4% (極小)
(2),69,什麼是「互調干擾 (Intermodulation)」？,(1) 一種好聽的音樂,(2) 兩個或多個不同頻率訊號在非線性電路中混合產生的新干擾頻率,(3) 電線短路,(4) 螢幕閃爍
(1),70,「超外差 (Superheterodyne)」接收機中的「本地振盪器 (Local Oscillator)」作用為何？,(1) 產生一個與接收頻率混合以產生中頻的訊號,(2) 直接發射電波,(3) 調整音量,(4) 幫電池充電
(3),71,接收機中的「自動增益控制 (AGC)」功能為何？,(1) 自動改變頻率,(2) 自動報呼號,(3) 穩定不同強度的訊號輸出音量,(4) 自動關機
(2),72,在射頻電路中，「遮蔽 (Shielding)」的主要目的是？,(1) 防止生鏽,(2) 防止電磁干擾洩漏或侵入,(3) 增加散熱,(4) 美化外觀
(4),73,「直流電源供應器」的作用是？,(1) 產生無線電波,(2) 測量電阻,(3) 儲存聲音,(4) 將交流市電轉換為穩定的直流電供設備使用
(1),74,無線電機中的「散熱片」主要是利用什麼原理降溫？,(1) 熱傳導與對流,(2) 蒸發,(3) 電磁感應,(4) 絕緣
(3),75,在業餘無線電通訊中，「10米波段」是指哪個頻率範圍？,(1) 144-146 MHz,(2) 7.0-7.3 MHz,(3) 28-29.7 MHz,(4) 430-440 MHz
(2),76,「全向性天線」是指在什麼方向上的輻射強度大致相等？,(1) 垂直方向,(2) 水平平面方向,(3) 所有三維空間,(4) 只有前方
(1),77,八木天線中的「反射器 (Reflector)」長度通常比「驅動元件 (Driven Element)」？,(1) 長,(2) 短,(3) 一樣長,(4) 粗
(2),78,八木天線中的「導向器 (Director)」長度通常比「驅動元件」？,(1) 長,(2) 短,(3) 一樣長,(4) 細
(4),79,同軸電纜線規格如「RG-58」或「5D-FB」，其特性阻抗通常為？,(1) 10 歐姆,(2) 75 歐姆,(3) 100 歐姆,(4) 50 歐姆
