(答案),﻿題號,問題,(1) 選項1,(2) 選項2,(3) 選項3,(4) 選項4
(2),1,"用歐姆表測量電路中的電阻時,應採取以下哪些措施?",(1) 確定提供的電壓是正確的,(2) 確定電路是沒有供電的狀況,(3) 確定電路有接地,(4) 確定電路工作是在正確的頻率
(2),2,"用電壓表測量高電壓時,應採取以下哪一項措施?",(1) 確定電壓表具有非常低的阻抗,(2) 確定電壓表和測量線材是在額定電壓規格下使用,(3) 確定電路經由電壓表接地,(4) 確定電壓是設定在正確的頻率
(2),3,以下哪項是12伏特蓄電池的安全隱憂?,(1) 用手觸摸外殼可能會導致電擊,(2) 端子短路會導致灼傷、起火或爆炸,(3) 電池的射頻發射,(4) 以上皆是
(4),4,流經身體的電流是如何造成傷害?,(1) 加熱身體組織,(2) 破壞細胞的功能,(3) 導致不自主的肌肉收縮,(4) 以上皆是
(3),5,連接到三孔交流插頭中的綠線是什麼?,(1) 中性線,(2) 火線,(3) 接地線,(4) 白線
(2),6,電路中保險絲的用途是什麼?,(1) 防止電源雜訊損壞電路,(2) 在過載情況下中斷電源,(3) 限制電流以防止電擊,(4) 以上皆是
(3),7,為什麼在5安培的保險絲處安裝20安培的保險絲是不可以的?,(1) 較大的保險絲可能會因為額定值較高而燒斷,(2) 電源波動會增加,(3) 電流過大可能會引起火災,(4) 以上皆是
(4),8,在您的電臺裡什麼是防止觸電的好方法?,(1) 將電臺的所有交流電設備改用三線式電源線和三孔插頭,(2) 將電臺的所有交流電設備連接到一個共用的安全地線,(3) 使用由接地故障斷路器保護的電路,(4) 以上皆是
(4),9,"在同軸電纜饋線安裝避雷裝置時,應採取哪些預防措施?","(1) 為每個保護器安裝一個並聯旁路開關,以便在高功率運行時將其切離電路","(2) 在每個保護器的地線安裝一個串聯開關,以防止發射過載時,無意中損壞保護器","(3) 將每個保護器的接地線分開,並連接到電臺接地","(4) 將所有保護器接地到共用的接地板,再將這塊接地板連接到外部接地"
(1),10,由120伏特交流電源電路供電的自製設備應該包含哪些安全設備?,(1) 與交流電火線串聯的保險絲或斷路器,(2) 輸入電源上的交流電壓表,(3) 與交流電電源串聯的電感器,(4) 交流電源上的電容器
(3),11,傳統的12伏特蓄電池會有什麼的危害?,(1) 它會釋放出對大氣有害的臭氧,(2) 高電壓引起的衝擊危險,"(3) 如果通風不良,爆炸性氣體會累積",(4) 以上皆是
(1),12,如果鉛酸蓄電池充電或放電太快會發生什麼事情?,"(1) 電池可能會過熱,並放出易燃氣體或爆炸",(2) 電壓可能會反轉,(3) 記憶效應會降低電池的容量,(4) 以上皆是
(4),13,"電源關閉和斷開時,可能存在哪種危險?",(1) 靜電可能會損壞接地系統,(2) 變壓器內部的循環電流可能會導致損壞,"(3) 如果取下蓋子,保險絲可能會熔斷",(4) 可能會因儲存在大容量電容器中的電量而受到電擊
(3),14,在鐵塔工作時人員應該何時配戴安全帽和安全眼鏡?,(1) 除攀登鐵塔外的所有時間,(2) 除牢靠固定到鐵塔外的所有時間,(3) 在鐵塔上完成工作的所有時間,(4) 只有當塔高超過10公尺時
(3),15,"攀登天線鐵塔之前,需要注意那些預防措施?",(1) 確定有佩戴接地腕帶,(2) 移除所有的鐵塔接地連接線,(3) 穿上安全背帶和安全眼鏡,(4) 以上皆是
(4),16,"在沒有其他人員協助的情況下,攀登鐵塔時,什麼情況是安全的?",(1) 未進行電氣工作時,(2) 未進行機械工作時,(3) 工作的高度不超過地面6公尺,(4) 以上皆非
(3),17,"安裝天線鐵塔時,以下哪項是重要的安全防範措施?",(1) 始終佩戴連接手腕的接地帶,(2) 絶緣鐵塔基座以避免雷擊,(3) 尋找並清除任何上方電線,(4) 以上皆是
(3),18,起重吊杆的目的是什麼?,(1) 暫時更換拉線,(2) 用於代替安全帶,(3) 吊升塔節或天線,(4) 提供臨時接地
(4),19,"安裝天線時,與電力線的最小安全距離是多少?",(1) 你的房屋的一半寬度,(2) 電力線離地面的高度,(3) 工作頻率的1/2波長,"(4) 假如天線意外掉落,天線必須要離電力線超過3公尺"
