(答案),﻿題號,問題,(1) 選項1,(2) 選項2,(3) 選項3,(4) 選項4
(2),1,從事業餘無線電作業，應遵守之規定，下列何者正確？,(1) 須經測試合格，領有業餘無線電人員執照者，始得申設業餘電臺。,(2) 須取得業餘電臺執照及電臺呼號後，始得從事業餘無線電作業。,(3) 不得從事具有任何營利性質之通信。,(4) 以上皆是。
(4),2,違反業餘無線電管理規定，擅自使用及變更業餘分配頻段、發射功率者，處新臺幣多少元罰鍰？,(1) 一百元以上五百元以下,(2) 一千元以上五千元以下,(3) 一萬元以上十萬元以下,(4) 十萬元以上五十萬元以下
(3),3,145MHz 及 433MHz 頻率之用途為何？,(1) 商業廣播頻率,(2) 氣象觀測頻率,(3) 呼叫及緊急救難頻率,(4) 航空導航頻率
(1),4,下列何者為「無線電規章」的定義？,(1) 指主管機關參照國際電信聯合會之國際無線電規則所訂定之各類規則、細則、辦法及規範等。,(2) 指憲法中關於通信的條文。,(3) 指業餘無線電團體自訂的規約。,(4) 指無線電機的使用說明書。
(2),5,業餘無線電人員之定義為何？,(1) 指從事商業無線電通訊的人員。,(2) 指基於個人興趣，不以營利為目的，經主管機關測試及格，取得業餘無線電人員執照者。,(3) 指在廣播電台工作的人員。,(4) 指專門維修收音機的技師。
(4),6,何謂「混附發射」？,(1) 指在發射之必需頻帶寬度內產生之輻射。,(2) 指正常的語音通訊。,(3) 指由外部電源產生的雜訊。,(4) 指於發射之必需頻帶寬度外產生之輻射或頻率，其位準可再降低而不致影響所傳送之信息。
(3),7,「天線結構」是指什麼？,(1) 僅指天線本身。,(2) 僅指天線的支撐架。,(3) 無線電波輻射系統及其支撐結構和附屬物之總稱。,(4) 指天線內部的電線。
(1),8,「有效輻射功率 (ERP)」的計算方式為何？,(1) 由發射機輸出傳送到天線之功率及其天線與半波偶極天線相對增益之乘積。,(2) 發射機的總輸入功率。,(3) 電池消耗的功率。,(4) 天線產生的熱能。
(4),9,何謂「妨害性干擾」？,(1) 正常的背景噪音。,(2) 偶爾出現的靜電聲。,(3) 無線電通信作業產生之干擾，危及無線電導航或其他無線電安全維護作業。,(4) 對合法無線電通信造成明顯減損、阻礙、重複中斷等現象者。
(2),10,「緊急通信」的目的是什麼？,(1) 測試設備性能。,(2) 處於危急狀態下，為保護生命、財產安全而建立之緊急無線電通信作業。,(3) 練習摩爾斯碼。,(4) 轉發新聞氣象。
(1),11,業餘無線電人員之資格分為幾等？,(1) 三等：一等、二等、三等。,(2) 二等：甲等、乙等。,(3) 四等：特等、一等、二等、三等。,(4) 五等。
(3),12,二等業餘無線電人員測試及格標準為何？,(1) 至少應答對 25 題。,(2) 至少應答對 30 題。,(3) 總計 40 題，至少應答對 32 題。,(4) 至少應答對 35 題。
(2),13,三等業餘無線電人員測試及格者，要滿多久才能參加二等測試？,(1) 立即具有資格。,(2) 設置三等業餘電臺達一年以上。,(3) 滿兩年。,(4) 滿五年。
(4),14,業餘無線電人員執照有效期間為幾年？,(1) 1 年,(2) 3 年,(3) 5 年,(4) 10 年
(2),15,業餘電臺執照有效期間屆滿前多久應申請換發？,(1) 一個月。,(2) 六個月起五個月內。,(3) 隨時可以。,(4) 過期後再申請。
(1),16,二等業餘無線電人員可以申請設置什麼等級的電臺？,(1) 二等或三等業餘電臺。,(2) 僅限二等電臺。,(3) 僅限三等電臺。,(4) 一等、二等或三等電臺。
(3),17,行動式業餘電臺之輸出功率限制為何？,(1) 不限。,(2) 必須超過 100 瓦。,(3) 輸出功率未達 25 瓦，或 25 至 50 瓦且頻率在 50MHz 以下。,(4) 必須小於 1 瓦。
(4),18,固定式業餘電臺設置申請書應載明哪些事項？,(1) 申請人姓名、執照號碼。,(2) 設置目的、設置地址。,(3) 無線電機廠牌、型號、序號、頻率及功率。,(4) 以上皆是。
(2),19,「示標電臺」主要用途為何？,(1) 播放音樂。,(2) 發射或接收做為觀測電波傳播及其他相關實驗活動信號。,(3) 商業通訊。,(4) 緊急醫療救援。
(1),20,臨時電臺設置使用期間以多久為限？,(1) 六個月。,(2) 一年。,(3) 兩年。,(4) 一個月。
(3),21,業餘電臺天線高度超過地平面多少公尺應具有航空色標及標識燈？,(1) 10 公尺,(2) 30 公尺,(3) 60 公尺,(4) 100 公尺
(4),22,業餘電臺呼號的第一個字元是什麼？,(1) A,(2) C,(3) X,(4) B
(1),23,業餘電臺呼號第三個字元代表什麼？,(1) 所在地之直轄市、縣(市)代碼。,(2) 個人編號。,(3) 電臺等級。,(4) 出生月份。
(2),24,呼號中數字「2」代表哪些地區？,(1) 基隆、宜蘭。,(2) 臺北、新北。,(3) 桃園、新竹。,(4) 台中。
(3),25,二等業餘電臺呼號的組合特徵為何？,(1) 二個英文字母。,(2) 呼號第二字元為 X 且後跟一個字母。,(3) 三個英文字母且第二字元為 X。,(4) 四個英文字母。
(4),26,通信中至少每隔多久應報其電臺呼號一次？,(1) 1 分鐘,(2) 5 分鐘,(3) 10 分鐘,(4) 30 分鐘
(1),27,語音通信時，報明呼號應使用什麼？,(1) 英語或國際無線電規則規定之英語識別代字。,(2) 國語。,(3) 方言。,(4) 自創的代碼。
(2),28,業餘電臺作業時，應優先讓何種通信作業？,(1) 朋友聊天。,(2) 緊急通信。,(3) 技術討論。,(4) 播放音樂。
(3),29,業餘無線電人員操作執照較低等級之電臺時，應如何識別？,(1) 只能用低等級呼號。,(2) 只能用等級最高呼號。,(3) 於所在電臺呼號後以斜線分隔加上其原電臺呼號。,(4) 不需要特別標示。
(4),30,下列何者是禁止在業餘電臺傳送的內容？,(1) 具營利性質之通信。,(2) 廣播公眾接收之發射作業。,(3) 故意或惡意干擾。,(4) 以上皆是。
(3),31,業餘電臺呼號指配後，業餘無線電人員是否可以要求更換特定呼號？,(1) 可以，隨時申請。,(2) 可以，只要支付額外規費。,(3) 不得要求指配特定呼號，但臨時電臺且無重複之虞者除外。,(4) 只有一等人員可以。
(1),32,業餘無線電人員取得較高等級資格後，原設置之業餘電臺應如何處理呼號？,(1) 得申請改配呼號，原呼號收回不再使用。,(2) 必須繼續使用原呼號。,(3) 可以同時使用新舊兩個呼號。,(4) 呼號會自動變更，不需申請。
(2),33,業餘電臺於通訊時，應如何使用語言？,(1) 僅限使用國語。,(2) 應使用英語或國際無線電規則規定之英語識別代字，或能清楚識別之語言。,(3) 可以使用任何自創的暗號。,(4) 必須使用摩爾斯碼。
(4),34,業餘電臺是否可以作為中繼其他電信事業信號之用？,(1) 可以。,(2) 只要不收費就可以。,(3) 僅限於轉發新聞時。,(4) 不得作為中繼其他電信事業信號之用。
(2),35,業餘無線電人員執照遺失時，應如何處理？,(1) 等到有效期限屆滿再處理。,(2) 應即申請補發，其有效期與原執照相同。,(3) 必須重新參加測試。,(4) 逕行使用舊執照影本即可。
(1),36,何謂「即席控制作業」？,(1) 指在電臺內直接調校、控制無線電通信作業。,(2) 指在家中透過網路控制電臺。,(3) 指電臺自動發射信號。,(4) 指由他人代為控制。
