(答案),﻿題號,問題,(1) 選項1,(2) 選項2,(3) 選項3,(4) 選項4
(3),1,當你的無線電發射機對家中的電話機產生干擾時，通常是因為？,(1) 電話線太短,(2) 電話機功率太大,(3) 電話線路感應了射頻能量並在其內部解調,(4) 無線電機沒接天線
(1),2,下列何者是解決「電話干擾」最簡單有效的方法？,(1) 在電話線靠近機座處加裝射頻濾波器或繞過鐵粉芯,(2) 把電話機丟掉,(3) 換一個房間發射,(4) 增加發射功率
(4),3,「二次諧波」干擾是指發射頻率為 F 時，在什麼頻率產生的干擾？,(1) 1/2 F,(2) F + 10MHz,(3) F - 5MHz,(4) 2 F
(2),4,若 144MHz 的發射機干擾到 288MHz 的接收設備，這屬於？,(1) 基波干擾,(2) 諧波干擾,(3) 影像干擾,(4) 音頻干擾
(1),5,在接收機前端加裝「帶通濾波器」可以有效預防？,(1) 來自強大鄰頻信號造成的過載或減感干擾,(2) 電池沒電,(3) 太陽黑子消失,(4) 麥克風雜音
(3),6,當兩個或多個強大信號進入接收機前端並產生新的干擾頻率時，稱為？,(1) 頻率漂移,(2) 諧振,(3) 互調失真 (Intermodulation),(4) 多普勒效應
(2),7,解決「電視干擾 (TVI)」的第一步通常是？,(1) 叫鄰居搬家,(2) 確認自己的天線系統駐波比正常且發射機無諧波洩漏,(3) 增加天線高度,(4) 換一台電視
(4),8,「鐵粉芯 (Ferrite Core)」在排除射頻干擾時的作用是？,(1) 增加導線電感以抑制高頻干擾電流,(2) 將射頻能量轉換為微量熱能,(3) 阻斷共模電流,(4) 以上皆是
(1),9,什麼是「寄生發射 (Spurious Emission)」？,(1) 非預期的、位於必要頻寬之外的射頻發射,(2) 正常的語音信號,(3) 衛星發出的信號,(4) 遙控器的信號
(3),10,如果你的發射機在所有頻道都對電視產生干擾，這可能是？,(1) 只有某個頻道壞了,(2) 電視天線斷了,(3) 發射機產生了廣泛的雜散輻射或基波過強,(4) 停電
(2),11,「射頻接地」與「安全接地」的主要區別在於？,(1) 安全接地不需要導線,(2) 射頻接地需要極短且寬的導線以減少高頻阻抗,(3) 射頻接地是為了防止觸電,(4) 沒有區別
(4),12,下列哪種設備最容易受到鄰近業餘電台的射頻干擾？,(1) 沒插電的燈泡,(2) 塑膠盆栽,(3) 木桌,(4) 未經良好屏蔽的音響放大器或電腦主機
(1),13,「低通濾波器」應該安裝在？,(1) 發射機與天線之間,(2) 麥克風與主機之間,(3) 電池與主機之間,(4) 喇叭與主機之間
(2),14,在 VHF/UHF 通訊中，若發現語音中有明顯的交流嗡鳴聲 (Hum)，應檢查？,(1) 天線是否太高,(2) 電源供應器的濾波電容是否老化或故障,(3) 頻率是否太準,(4) 天氣是否太冷
(3),15,使用「數位模式」通訊時，若音量過大（Overdrive）會導致？,(1) 速度變快,(2) 頻寬縮小,(3) 產生嚴重的雜散輻射並干擾鄰頻,(4) 電量增加
(4),16,預防射頻干擾 (RFI) 的良好習慣不包括？,(1) 使用高品質的同軸電纜,(2) 確保所有連接頭焊接良好,(3) 保持良好的系統接地,(4) 儘量使用最大功率進行本地通訊
(1),17,「影像干擾 (Image Interference)」主要是由哪種接收機的設計特性造成的？,(1) 超外差接收機,(2) 直接放大接收機,(3) 礦石收音機,(4) 所有接收機
(2),18,若你的發射訊號進入了鄰居的電腦喇叭並傳出你的聲音，這稱為？,(1) 數位通訊,(2) 音頻整流 (Audio Rectification),(3) 電磁感應,(4) 互感
(3),19,在排除干擾時，若將天線改為「假負載」後干擾消失，說明干擾是？,(1) 經由電源線傳導的,(2) 機器內部洩漏的,(3) 經由天線輻射出去的,(4) 鄰居幻聽
(2),20,當兩個發射機距離很近時，應使用什麼設備來減少互相干擾？,(1) 放大器,(2) 雙工器或高品質腔體濾波器,(3) 變壓器,(4) 延長線
(4),21,業餘電台在處理干擾投訴時，應保持的態度是？,(1) 互不理睬,(2) 否認到底,(3) 立即停止所有通訊永遠不開機,(4) 積極配合檢查並在法律規範內尋求技術解決方案
