(答案),﻿題號,問題,(1) 選項1,(2) 選項2,(3) 選項3,(4) 選項4
(2),1,在2公尺波段哪一個是中繼電臺最常使用的頻率偏移?,(1) 正500 千赫,(2) 正或負600 千赫,(3) 負500 千赫,(4) 只有正600 千赫
(1),2,在70公分波段哪一個是中繼電臺的頻率偏移,(1) 正或負5 百萬赫,(2) 正或負600 千赫,(3) 負600 千赫,(4) 正600 千赫
(2),3,"如果知道其他電臺的呼號,用中繼電臺呼叫它的恰當方法是什麼?","(1) 說”間隔、間隔”,然後呼叫友台呼號","(2) 呼叫友台呼號,然後標識自己的呼號","(3) 說CQ三次,然後呼叫友台呼號",(4) 等待友台呼叫CQ然後回答
(3),4,如何回答友台呼叫CQ?,(1) 發射CQ然後加上友台呼號,(2) 發射自己的呼號然後加上友台呼號,(3) 發射友台呼號然後加上自己的呼號,(4) 發射訊號強度報告再加上自己的呼號
(1),5,"在對傳輸中裝備或是天線進行測試時,業餘無線電人員要注意甚麼?",(1) 有效的標識在發送中的電臺,(2) 要在晚上十點以後再測試,(3) 通知NCC關於測試,(4) 在測試過程中說明測試目的
(4),6,"在測試發送訊號時,下列何者為真","(1) 如果測試小於15秒,不需要電臺標識","(2) 如果測試功率小於1瓦特,不需要電臺識","(3) 如果發送只是為了測試訊號,僅需每小時電臺標識","(4) 電臺識別必須至少每10分鐘一次,還有在測試終了時"
(4),7,程序信號(prosigns)”CQ”是代表?,(1) 每四分之一小時的呼叫,"(2) 新天線在測試,請不要回復!",(3) 請指定友台回復訊號,(4) 呼叫任一電臺
(2),8,"通常發送什麼樣的簡短陳述取代“CQ”,代表你在收聽中繼電臺?",(1) ”Hello test”後加上自已的呼號,(2) 呼號,(3) 中繼電臺的呼號再加上自已的呼號,(4) “QSY”再加上自已的呼號
(4),9,"在一般無緊急狀況時,下列何者是NCC的業餘無線電頻段的功率位準規定","(1) 只要不會干擾其他無線電,就沒有輸出功率限制",(2) 最多只能200瓦特,(3) 任一業餘頻率最多可至1500瓦特,"(4) 在指定的頻段內不超過最大功率輸出允許值,使用達成通訊的最小功率"
(4),10,"當為呼叫""CQ”選擇操作頻率時,需要遵守何者?",(1) 先守聽頻率已確定無人正在使用該頻率,(2) 先詢問是否有人在使用,(3) 確認自己是在指定頻段,(4) 以上皆是
(3),11,描述業餘無線電臺在同一頻率接收與發送的術語為何?,(1) 全雙工通訊,(2) 雙工通訊,(3) 單工通訊,(4) 多工通訊
(4),12,"甚麼術語用來描述正常語音傳輸的次音頻,以開啟接收機的制噪(squelch)?",(1) 載波制噪,(2) 音頻脈衝,(3) DTMF,(4) CTCSS
(2),13,"下列何者描述讓接收機音頻靜音,僅使用RF訊號的存在與否的控制方式",(1) 音頻制噪(squelch),(2) 載波制噪,(3) CTCSS,(4) 調變的載波
(4),14,"當使用適當的偏置(offset)傳輸,下列何者造成只能收聽而無法發送的常見問題?",(1) 中繼電臺也許需要利用音頻脈衝,(2) 中繼電臺也許需要利用CTCSS,(3) 中繼電臺也許需要利用DCS的音調序列,(4) 以上皆是
(3),15,甚麼決定FM(而不是PM)訊號的偏移量?,(1) 調變訊號的頻率與振福,(2) 調變訊號的頻率,(3) 調變訊號的振幅,(4) 調變訊號與載波的相對相位
(1),16,如果FM發射偏移量增加會發生何事?,(1) 訊號會佔用更多的頻寬,(2) 輸出的功率會增加,(3) 輸出功率與頻寬都會增加,(4) 會產生不對稱的調變
(1),17,"在使用電話識別自己的電臺時,可以使用下咧一方法?",(1) 使用拼音字母,(2) 語音通話時也利用CW傳送呼號,(3) 重覆呼號三次,"(4) 識別自己時,將輸出功率調到最大"
(2),18,下列何種Q訊號代表你正在換頻率,(1) QRU,(2) QSY,(3) QSL,(4) QRZ
(1),19,甚麼樣的狀況下會讓你考慮直接通訊而不是用中繼電臺?,(1) 該電臺可以直接通訊而不用中繼電臺,(2) 當你的執照上有直接通訊的許可時,(3) 僅限於當第三方並不會插話時,(4) 僅限於當你有直接調變能力時
(3),20,"在業餘頻段的50百萬赫以上使用SSB通訊時,下列何者為真?",(1) 只允許三等或更高等級業餘無線電人員,(2) 只允許在中繼電臺上,(3) 僅允許在業餘頻段50百萬赫以上的某些部分操作,(4) 僅限於功率在100瓦特以內
(4),21,在什麼時候不需要遵守NCC操作業餘電臺的規則?,(1) 當操作RACES電臺時,(2) 在特殊的FEMA規則下操作,(3) 在特殊的ARES規則下操作,"(4) 不行,NCC的規則一定要遵守"
(3),22,"當台電電力中斷之後,還有甚麼方法可以對12伏特鉛酸電臺電池充電?",(1) 把電池放在冰裡冷卻幾小時,(2) 加酸性液體到電池內,"(3) 並聯電池到車上的電池,然後啟動引擎",(4) 以上皆是
(3),23,"為確保正確抄收到包含正確的名稱以及特殊字句的語音訊息,接收電臺應該要如何做?",(1) 整條訊息應該要至少重覆四次,(2) 這樣的訊息必須限制在十個字句之內,(3) 這類的字句跟術語應該用標準的拼音字母拼出,(4) 以上皆是
(4),24,RACES跟ARES有何共同點?,(1) 他們代表全美前兩大的火腿俱樂部,(2) 兩者都廣播路況跟天氣資料,(3) 都沒有提供緊急交通援助的公共服務,(4) 兩者都可以提供緊急狀況時的通訊
(4),25,下列何者是敘述RACES(業餘無線電民間緊急服務)?,(1) 利用業餘無線電的頻率做為緊急狀況管理及民間防衛通訊,(2) 利用業餘無線電的電臺做為緊急狀況管理及民間防衛通訊,(3) 經民防組織認證並登記的業餘無線電人員提供緊急服務,(4) 以上皆是
(3),26,"做緊急事件通報時,為了得到連網管制的站臺的立即回應,下列何者為可接受的範例?",(1) 重複三次SOS後面加上報告電臺呼號,(2) 按壓三次PTT通話鍵,(3) 在說”Priority”或是”Emergency” 之後加上自己的呼號,(4) 放一段預錄的緊急警告的音頻再加上自己的呼號
(3),27,"業餘無線電操作員進入緊急交通網報到時,下列何者是可接受的範例?","(1) 當頻率是靜默的時候,每五分鐘發布自己的電臺呼號及位置","(2) 在連網的頻率之外偏置5千赫,然後用大功率呼叫其他友臺把該頻率淨空","(3) 在該頻率內保持靜默,直到被連網控制臺點名呼叫",(4) 以上皆是
(1),28,下列何者是良好處理交通緊急狀況的特徵?,(1) 接收到的訊息完整的傳遞出去,(2) 決定是否要把訊息轉傳或是傳遞出去,"(3) 把訊息傳給媒體,以發布於災區之外",(4) 以上皆是
(4),29,業餘無線電控制員有被允許在其執等級的頻率權限之外操作嗎?,(1) 不行,"(2) 可以,但是要在FEMA緊急計畫內的一部分","(3) 可以,但是要在RACES緊急計畫內的一部分","(4) 可以,只有涉及立即人命安全及財產保護情況"
(4),30,甚麼是正式交通訊息的前言?,(1) 訊息內文的第一段,(2) 訊息的編號,(3) 標示訊息的優先處理,"(4) 當訊息通過業餘無線電交通處理系統時,提供追蹤訊息的資訊"
(1),31,“Check”在正式交通訊息裡有甚麼意義嗎?,(1) 它計算訊息內文字部分的字句或相等於字句的數目,(2) 它代表訊息內附加的匯票(money order)的價值,(3) 它代表轉傳訊息的友臺清單,(4) 它就是訊息表格上方格以告訴你訊息己收到
(1),32,下列何者是敘述ARES(業餘無線電急難服務)?,(1) 有證照的業餘無線電人員自願性註冊其等級跟設備以提供公眾服務的通訊義務,(2) 有業餘無線電人員證照的軍事人員自願在急難狀況時提供訊息處理服務,(3) 讓有興趣取得業餘無線電執照的民眾用在急難的證照課程訓練計畫,(4) 認證業餘無線電人員成為RACES會員的訓練計畫
(4),33,"如果另一個業餘無線電人員報告您的電臺的2公尺信號剛才很強,但現在很弱或者失真,你應該怎麼辦?",(1) 將收發機中的電池更換為不同類型的電池,(2) 打開CTCSS音頻,(3) 要求其他業餘無線電人員調整他的制噪控制(squelch control),"(4) 儘可能嘗試移動幾公尺或改變天線的方向,因為反射可能導致多路徑失真"
(2),34,為什麼在建築物內UHF信號通常比VHF信號更有效?,(1) VHF信號在距離上失去功率更快,(2) 更短的波長使它更容易穿透建築物結構,(3) 這是不正確的; VHF在建築物內比UHF更好,(4) UHF天線比VHF天線更有效率
(3),35,"使用VHF和UHF頻段的長距離弱信號CW與SSB通信,通常使用什麼天線極化?",(1) 右旋圓形,(2) 左旋圓形,(3) 水平,(4) 垂直
(2),36,"如果VHF或UHF視線(line of sight)兩端的無線電鏈路不使用相同極化的天線,會發生什麼情況?",(1) 調變邊帶可能會反轉,(2) 信號可能明顯變弱,(3) 信號對聲音有迴聲效應,(4) 沒有什麼明顯的事情會發生
(2),37,"當使用定向天線時,如果建築物或障礙物阻擋直接視線(line of sight)路徑,您的電臺如何能夠接取遠方中繼電臺(distant repeater)?",(1) 從垂直變為水平極化,(2) 嘗試找到反射信號給中繼電臺的路徑,(3) 嘗試長路徑,(4) 增加天線SWR
(2),38,通常用什麼術語來描述有時聽到來自正在移動並發射的行動電臺的快速飄動的聲音?,(1) 翻轉(flip-flopping),(2) 尖椿籬柵性的波動(picket fencing),(3) 頻移,(4) 脈動
(1),39,什麼類型的波在發射電臺和接收電臺之間傳輸無線電信號?,(1) 電磁波,(2) 靜電波,(3) 表面聲波,(4) 磁束波
(3),40,以下哪項是接收電離層反射信號的不規則衰減的可能原因?,(1) 法拉第旋轉引起的頻移,(2) 暴風雨干擾,(3) 通過不同路徑到達的隨機組合信號,(4) 內調失真
(2),41,下面哪個結果是因為電離層折射的跳躍信號是橢圓極化的事實?,(1) 沒有作用的數位模式,(2) 發送或接收可以使用垂直或水平極化的天線,(3) 沒有作用的調頻語音,(4) 發射天線和接收天線必須具有相同的極化
(4),42,如果數據信號通過多條路徑傳播會發生什麼?,"(1) 藉由相等於不同路徑數目的因子,可以增加傳輸速率","(2) 藉由相等於不同路徑數目的因子,應該會減少傳輸速率","(3) 如果使用調頻傳輸信號,則不會發生重大變化",(4) 錯誤率可能會增加
(3),43,大氣的哪一部分能夠使無線電信號傳播到全世界?,(1) 平流層,(2) 對流層,(3) 電離層,(4) 磁層
(3),44,無線電波在一個完整週期內所行進的距離名稱是什麼?,(1) 波速,(2) 波形,(3) 波長,(4) 波散(spread)
(1),45,無線電波的哪個屬性用於描述其極化?,(1) 電場的方向,(2) 磁場的方向,(3) 磁場能量與電場能量的比值,(4) 速度與波長的比值
(3),46,無線電波的兩個組成部分是什麼?,(1) 交流電和直流電,(2) 電壓和電流,(3) 電場和磁場,(4) 電離輻射和非電離輻射
(1),47,無線電波在自由空間中傳播有多快?,(1) 以光速,(2) 以聲速,(3) 其速度與其波長成反比,(4) 其速度隨著頻率的增加而增加
(2),48,無線電波的波長與其頻率有何關係?,"(1) 隨著頻率的增加,波長變長","(2) 隨著頻率的增加,波長變短",(3) 波長和頻率之間沒有關係,(4) 波長取決於信號的帶寬
(4),49,將頻率轉換為以公尺為單位的近似波長的公式是什麼?,(1) 以公尺為單位的波長等於以赫茲為單位的頻率乘以300,(2) 以公尺為單位的波長等於以赫茲為單位的頻率除以300,(3) 以公尺為單位的波長等於以百萬赫為單位的頻率除以300,(4) 以公尺為單位的波長等於300除以以百萬赫為單位的頻率
(1),50,無線電波的哪個屬性常用於識別不同的頻段?,(1) 近似的波長,(2) 無線電波的磁場強度,(3) 無線電波行進一公里的時間,(4) 無線電波的電壓駐波比
(2),51,VHF頻譜的頻率範圍是甚麼?,(1) 30至300 千赫,(2) 30至300 百萬赫,(3) 300至3000 千赫,(4) 300至3000 百萬赫
(4),52,UHF頻譜的頻率範圍是甚麼?,(1) 30至300 千赫,(2) 30至300 百萬赫,(3) 300至3000 千赫,(4) 300至3000 百萬赫
(3),53,什麼頻率範圍被稱為HF?,"(1) 300至3,000 百萬赫",(2) 30至300 百萬赫,(3) 3至30 百萬赫,"(4) 300至3,000 千赫"
(2),54,無線電波通過自由空間時的近似速度是多少?,"(1) 每秒3,000 公里","(2) 每秒300,000,000 公尺","(3) 每小時300,000 英里","(4) 每小時186,000 英里"
(3),55,為什麼直接（不通過中繼電臺）UHF信號很少從您電臺涵蓋區域外被聽到？,(1) 因為太弱，所以無法傳播很遠,(2) 國家通訊委員會規定禁止他們涵蓋超過80公里,(3) UHF信號通常不會被電離層反射,(4) 與樹木和灌木碰撞而消失
