(答案),﻿題號,問題,(1) 選項1,(2) 選項2,(3) 選項3,(4) 選項4
(1),1,電磁相容性 (EMC) 的定義為何？,(1) 設備在電磁環境中能正常工作且不對其他設備產生不可忍受干擾的能力,(2) 增加無線電功率的技術,(3) 調整天線高度的方法,(4) 電池充電的效率
(2),2,什麼是「電磁干擾 (EMI)」？,(1) 一種加強訊號的裝置,(2) 任何可能引起設備性能降低或損害的電磁現象,(3) 正常的廣播節目,(4) 電線的阻抗
(4),3,電磁干擾產生的三個基本要素不包括？,(1) 干擾源,(2) 耦合路徑,(3) 敏感設備（受擾體）,(4) 天線的顏色
(1),4,「傳導干擾」主要是透過什麼媒介傳播？,(1) 電源線或訊號線等導體,(2) 空氣中的電磁波,(3) 塑膠外殼,(4) 木頭桌面
(2),5,「輻射干擾」主要是透過什麼媒介傳播？,(1) 金屬導線,(2) 空間中的電磁場（無線電波）,(3) 接地線,(4) 電流
(3),6,在電源線上加裝「鐵粉芯 (Ferrite Core)」的主要目的是？,(1) 增加重量,(2) 美化線材,(3) 抑制高頻共模干擾電流,(4) 提高電壓
(1),7,「遮蔽 (Shielding)」效能與下列何者關係最密切？,(1) 遮蔽材料的導電率、厚度及孔洞大小,(2) 設備的價格,(3) 作業員的年資,(4) 電池的廠牌
(4),8,下列何種做法可以減少電子設備的電磁輻射？,(1) 增加外殼孔洞,(2) 拿掉接地線,(3) 使用不具屏蔽的塑膠盒,(4) 縮短電路板上的訊號迴路面積
(2),9,「共模 (Common Mode) 雜訊」是指？,(1) 兩根導線之間產生的雜訊,(2) 導線對地之間產生的相同相位雜訊,(3) 只有直流電有的雜訊,(4) 聲音太大的雜訊
(3),10,「差模 (Differential Mode) 雜訊」是指？,(1) 導線對地之間的雜訊,(2) 根本不存在的雜訊,(3) 兩根導線（如火線與中性線）之間產生的雜訊,(4) 靜電雜訊
(1),11,在 PCB 設計中，良好的「接地平面 (Ground Plane)」可以？,(1) 提供低阻抗的回流路徑並減少輻射,(2) 增加電阻,(3) 消耗更多電量,(4) 讓頻率加倍
(4),12,「靜電放電 (ESD)」防護常用的元件不包括？,(1) 瞬態電壓抑制器 (TVS),(2) 壓敏電阻,(3) 接地手環,(4) 保險絲
(2),13,什麼是「電磁感應耦合」？,(1) 透過光線傳遞干擾,(2) 兩個電路之間透過磁場互相影響,(3) 透過水傳遞干擾,(4) 透過聲音傳遞干擾
(1),14,為了提高設備的「抗擾度 (Immunity)」，通常會？,(1) 在輸入端加裝濾波器與遮蔽設施,(2) 提高發射功率,(3) 拿掉外殼,(4) 增加導線長度
(3),15,業餘無線電玩家在處理鄰居電視干擾時，首要檢查的應是？,(1) 鄰居的電費,(2) 自己的通訊內容,(3) 自己的發射機是否有過多的諧波輻射,(4) 電視節目的品質
(2),16,「低通濾波器 (LPF)」安裝在發射機輸出端，主要是為了抑制？,(1) 低頻雜音,(2) 高頻諧波干擾,(3) 電壓波動,(4) 麥克風雜訊
(4),17,電子設備通過「EMC 認證」代表？,(1) 該設備永遠不會壞,(2) 該設備是免費的,(3) 該設備可以發射無限大功率,(4) 該設備產生的干擾與抗擾能力均符合法定標準
(1),18,雙絞線 (Twisted Pair) 的主要優點是？,(1) 利用對稱性抵消外部磁場干擾及自身輻射,(2) 比較便宜,(3) 比較重,(4) 比較漂亮
(3),19,下列何者容易成為電磁干擾的「接收天線」？,(1) 絕緣的塑膠棒,(2) 短小的螺絲,(3) 過長的未屏蔽訊號線,(4) 電池盒內部
(2),20,「去耦電容 (Decoupling Capacitor)」在數位電路中的作用是？,(1) 儲存聲音,(2) 提供局部電流需求並濾除電源上的高頻雜訊,(3) 調整時鐘頻率,(4) 增加電壓
(1),21,若發射機對音響設備產生干擾，在音響電源線上繞幾圈「鐵粉芯」是屬於？,(1) 改變耦合路徑,(2) 消除干擾源,(3) 降低敏感度,(4) 增加音量
(4),22,「電場屏蔽」主要使用何種材料？,(1) 木板,(2) 橡膠,(3) 陶瓷,(4) 高導電率的金屬材料（如銅、鋁）
(2),23,「磁場屏蔽」在低頻時通常需要使用？,(1) 塑膠,(2) 高導磁率材料（如坡莫合金、鐵）,(3) 鋁箔,(4) 玻璃
(3),24,設備之間的「共地阻抗干擾」是由於？,(1) 沒有接地,(2) 土地太乾,(3) 多個電路共用一段具有阻抗的接地線,(4) 電源電壓太高
(1),25,下列哪種布線方式最能減少電磁耦合？,(1) 訊號線與回流線緊靠並行,(2) 訊號線與回流線形成巨大環路,(3) 隨意亂拉,(4) 繞在變壓器上
(4),26,「寬頻干擾」是指？,(1) 只有一個頻率的干擾,(2) 很好聽的干擾,(3) 網路速度很快,(4) 干擾能量分佈在很寬的頻率範圍內
(2),27,什麼是「負載點濾波」？,(1) 在發電廠端濾波,(2) 在受擾設備或電路的電源入口端進行濾波,(3) 在天線頂端濾波,(4) 在地底下濾波
(3),28,在業餘無線電作業中，若發現電腦螢幕因發射而閃爍，這通常是？,(1) 電腦中毒,(2) 螢幕太舊,(3) 強大的射頻場對電腦線路產生了輻射干擾,(4) 停電的前兆
